Group,Time,Date
u08 u30,305,23
u30 u32,1429,24
u32 u41,140,25
u30 u32 u41,15,25
u30 u32 u41,70,25
u32 u41,453,26
u32 u41,478,26
u32 u41,518,26
u32 u41,533,26
u32 u41,559,26
u32 u41,581,26
u08 u22,507,27
u08 u22,522,27
u08 u30,407,27
u08 u30,432,27
u30 u59,342,27
u08 u49,150,28
u08 u32,555,28
u22 u32 u41,320,28
u08 u41,220,28
u08 u22,720,28
u08 u22,775,28
u08 u22 u32 u41,575,28
u08 u22 u41,200,28
u08 u32 u41,605,28
u22 u32,345,28
u22 u32,530,28
u08 u22 u32,680,28
u32 u41,300,28
u32 u41,590,28
u32 u41,630,28
u22 u41,135,28
