User Group, Location, Time, Duration 
u00 u03 u09 u19 u20 u51 u54 u57,in[lsb],1316,10
u00 u03 u09 u19 u20 u51 u54 u57,in[lsb],1316,10
u00 u03 u09 u19 u20 u51 u54 u57,in[lsb],1316,10
u00 u03 u09 u19 u20 u51 u54 u57,in[lsb],1316,10
u00 u03 u09 u19 u20 u51 u54 u57,in[lsb],1316,10
u00 u03 u09 u19 u20 u51 u54 u57,in[lsb],1316,10
u00 u03 u09 u19 u20 u51 u54 u57,in[lsb],1316,10
u51 u57,in[sudikoff],306,10
u51 u57,in[sudikoff],341,10
u14 u39 u51 u57,in[sudikoff],131,20
u19 u42 u57,in[sudikoff],451,60
